cycle,count,mae-o,mae-w0.25,mae-w0.5,mae-w.75
5,15,0.183075015869,0.178315584117,0.18454706781,0.175788971624
6,15,0.132703129546,0.13500653148,0.138691653382,0.134569582078
7,15,0.139893858272,0.14309983478,0.143624256811,0.146679658273
8,15,0.126324007586,0.130024548862,0.125151711185,0.123880891407
9,15,0.202648180478,0.195963621134,0.198355959834,0.198833126097
10,15,0.208141983509,0.211084539473,0.208623694343,0.212067310638
11,15,0.297284113349,0.289477600226,0.290835105602,0.300837296432
12,15,0.285612294873,0.271558942308,0.283005817282,0.280234818517
13,15,0.209051924599,0.203762854643,0.205219433753,0.204624531323
14,15,0.169660760966,0.172565901644,0.176125770202,0.172093859896
15,15,0.220975003576,0.214840018878,0.222923280846,0.229647285535
16,15,0.146939897122,0.137684124622,0.145075047875,0.138891748075
17,15,0.2332697047,0.243752573061,0.253547015881,0.235938767417
18,15,0.151358997242,0.157928785482,0.161256626934,0.169525821678
19,15,0.208392232218,0.222380852511,0.224888662454,0.222879417499
20,15,0.154045254253,0.128104752202,0.132490280081,0.123434114591
21,15,0.157353664502,0.208673189186,0.176055156546,0.172657328677
22,15,0.193797348771,0.183306561375,0.178232257846,0.188405568705
23,15,0.261323923296,0.270884747504,0.255860751026,0.250837318806
24,15,0.160800114047,0.155935817677,0.160964770703,0.149719558727
25,15,0.173982149444,0.182617426732,0.175229739891,0.170464073148
26,15,0.281297763844,0.279333750258,0.278510183451,0.281130837815
27,15,0.147246983219,0.171077361853,0.149495766142,0.160552971681
28,15,0.137721633167,0.143225338853,0.162918630685,0.157767333969
29,15,0.21238543515,0.183151671253,0.211821357774,0.192989083256
30,15,0.111875251224,0.128531793386,0.112874629582,0.115413082567
31,15,0.109732475688,0.10413469969,0.111918422454,0.0996757607357
32,15,0.144247679952,0.121241379288,0.125712175609,0.150745109332
33,15,0.140433158314,0.125569381448,0.12164586661,0.134961180528
34,15,0.203264561143,0.207569739858,0.19954110929,0.188453141908
35,15,0.287600325522,0.301162664694,0.290657997651,0.291737866502
36,15,0.296089436672,0.321277873539,0.304248243191,0.292892499948
37,15,0.258852958393,0.263120683921,0.261723861906,0.28072681193
38,15,0.272587044786,0.282354677999,0.251317083531,0.275955955329
39,15,0.302220828039,0.332392318795,0.348915808592,0.306061155423
40,15,0.33807807181,0.328404744349,0.308819224817,0.3348165316
41,15,0.392640817802,0.391791408099,0.39539002256,0.39212047655
42,15,0.162680350055,0.154223041969,0.15304629573,0.148690316345
43,15,0.169945699539,0.184598181923,0.166230528078,0.174028177294
44,15,0.177100130177,0.19419523547,0.178724081862,0.176520838912
45,15,0.163343174453,0.173580212434,0.221128097707,0.16182371186
46,15,0.147547909262,0.187147607664,0.152491691568,0.177288238427
47,15,0.11008833382,0.124292259262,0.112206435537,0.109036898359
48,15,0.173947967927,0.163208207048,0.163175938929,0.183278678211
49,15,0.121864055425,0.16662670939,0.125558410562,0.145651762663
50,15,0.106056558925,0.115218392018,0.115004824471,0.121680161892
51,15,0.127131488163,0.124801240471,0.120998370319,0.120860272628
52,15,0.111904142023,0.105939035489,0.0996413904278,0.106036440431
53,15,0.20263334621,0.20191574991,0.200828557553,0.213513045727
54,15,0.0988987198964,0.13318533377,0.106295788652,0.100262806335
55,15,0.101338643499,0.158796664038,0.141627629682,0.159133450967
56,15,0.170019087165,0.17226092978,0.172639179403,0.176242847528
57,15,0.159833079805,0.149905999213,0.151552549022,0.155062941985
58,15,0.232628863962,0.225933100119,0.230343589471,0.225881572972
59,15,0.230867231157,0.226452455837,0.219885819351,0.217489303462
60,15,0.158644221132,0.15889181835,0.158151646825,0.153214040218
61,15,0.144820096423,0.110762857434,0.104713107764,0.105506705856
62,15,0.169176284555,0.184057846939,0.184999837238,0.196900326864
63,15,0.215777453076,0.248427957664,0.238058005261,0.249954954604
64,15,0.275035030273,0.270674771509,0.273269616179,0.270747520865
65,15,0.202137628268,0.201077218125,0.197679056556,0.201607277195
66,15,0.310921624824,0.318505480151,0.344341614194,0.310710503419
67,15,0.613624035555,0.614537300012,0.61661514589,0.614420531321
68,15,0.148436141051,0.213573593236,0.163970308483,0.136744831433
69,15,0.186000684961,0.19247663411,0.189997518055,0.18965980641
70,15,0.259311652653,0.292889981733,0.320712782064,0.308360176001
71,15,0.310087935634,0.183918731499,0.17823206604,0.175865833232
72,15,0.199150896997,0.170215376119,0.170406274984,0.178260692337
73,15,0.333270446573,0.337833293629,0.335747646856,0.40451543034
74,15,0.111445959338,0.12690982177,0.113628628546,0.116557563161
75,15,0.0827383156247,0.0782059929585,0.111760185739,0.0979530107298
76,15,0.11450197641,0.111938158361,0.124675262018,0.144943601501
77,15,0.153457174292,0.140571232451,0.1533757144,0.147965019256
78,15,0.11776384134,0.104117979056,0.103095812863,0.136962164122
79,15,0.0980096814449,0.0951359882698,0.0962712947827,0.097795132234
80,15,0.0841152844305,0.0804168989896,0.0795881920363,0.085373093019
81,15,0.131774105639,0.111511896136,0.125313169473,0.116381176753
82,15,0.119156483019,0.114400577765,0.122416373278,0.112424257378
83,15,0.166415325025,0.185525856264,0.153833629517,0.185967578293
84,15,0.116976185338,0.122072653363,0.118863189677,0.123082819193
85,15,0.116700839426,0.121476488225,0.13385170899,0.134657591511
86,15,0.100366196847,0.114684331234,0.0997681049524,0.097370967896
87,15,0.152570333469,0.145690139898,0.155472377119,0.141186112189
88,15,0.248509005212,0.272568601714,0.302539775815,0.276439560844
89,15,0.176730374403,0.138296782299,0.160169178193,0.148358794039
90,15,0.27402311135,0.267220803814,0.263431532792,0.28238734952
91,15,0.13029796975,0.122573752636,0.131795761742,0.122517323924
92,15,0.170250631891,0.221071990539,0.169173963591,0.223237936292
93,15,0.192443821716,0.193167723698,0.196323093484,0.189658118752
94,15,0.121657702502,0.14319747664,0.105922419639,0.100369199401
95,15,0.167201532559,0.174858971014,0.191519819201,0.175562436683
96,15,0.296284605711,0.295173766847,0.297541808978,0.294558732396
97,15,0.116808728636,0.1439759053,0.11641497839,0.137953286214
98,15,0.103134837037,0.106287396803,0.109322490826,0.0978992726715
99,15,0.0958116394336,0.103917654516,0.102544914828,0.0991508050346
100,15,0.153207294696,0.217828784848,0.146888010699,0.152169446272
101,15,0.0906413642148,0.111531853896,0.104142901636,0.112803626444
102,15,0.126958514669,0.143192142485,0.132611485042,0.166061543458
103,15,0.134669261584,0.139549190398,0.13860672813,0.138735300256
104,15,0.148332497075,0.144694662058,0.13365875484,0.130349774977
105,15,0.164317575369,0.131641121351,0.120565772182,0.121067441381
106,15,0.147632962059,0.134600355133,0.130141538252,0.127714165954
107,15,0.125335631304,0.131309573492,0.126409716596,0.154218512948
108,15,0.179481903921,0.194134548516,0.217161065502,0.138590235415
109,15,0.216740693875,0.216187997424,0.217225754372,0.216776737952
110,15,0.267135784927,0.2502557891,0.27754632637,0.268426447206
111,15,0.271647250168,0.197764617063,0.222369051243,0.24824971038
112,15,0.186197740723,0.195050943081,0.183803688888,0.191023270082
113,15,0.213130731205,0.214055368642,0.213320593289,0.225361727369
114,15,0.193130268062,0.181828603531,0.226101974137,0.179011343659
115,15,0.155312176209,0.151288609725,0.214056268443,0.209271345737
116,15,0.138028661792,0.131330491067,0.135867287602,0.13688552083
117,15,0.164146752957,0.142855814063,0.144150916082,0.165797022266
118,15,0.171900922696,0.177605878461,0.199100085258,0.194673777699
119,15,0.301000765793,0.281884795075,0.261508566157,0.269838517846
120,15,0.58101194144,0.584487107198,0.570483271808,0.585869796218
121,15,0.527355169136,0.506976898149,0.524593048456,0.510478600832
122,15,0.6494146219,0.652431366869,0.657254014829,0.646400755132
123,15,0.480305007503,0.497437850034,0.479151598461,0.487263222491
124,15,0.504384741527,0.488891975702,0.42206129002,0.476526061233
125,15,0.561922765535,0.561745413044,0.550112662579,0.565982661737
126,15,0.451748579305,0.382495542547,0.411085119789,0.385597319084
127,15,0.522264422688,0.496344017055,0.496431762472,0.514586448941
128,15,0.161147101839,0.164223876556,0.166030474225,0.163654406614
129,15,0.178101472233,0.158641689353,0.155099381974,0.147212312055
130,15,0.102435018115,0.102857589577,0.105058795998,0.108233190589
131,15,0.140073281294,0.168733730907,0.143355595526,0.141248633134
132,15,0.296350479258,0.293739276116,0.295327531428,0.294176761794
133,15,0.468769424963,0.475070963355,0.509907881411,0.480635968245
134,15,0.439186211828,0.438045277913,0.44713187129,0.435912087136
135,15,0.457385247218,0.448595916699,0.451450296916,0.459946818963
136,15,0.348950931253,0.342767563259,0.351591708362,0.344089802373
137,15,0.286994727864,0.269117625261,0.278038353879,0.291236004361
138,15,0.195112567966,0.198645629382,0.206143879089,0.20954177791
139,15,0.220662531064,0.214311177378,0.199503193774,0.212901805985
140,15,0.21048342607,0.177176989521,0.156050827861,0.13738224124
141,15,0.13102517358,0.137070747323,0.133780588534,0.127480076423
142,15,0.121876902782,0.125106065024,0.115176080043,0.123066319044
143,15,0.172903208516,0.176803041546,0.177370973664,0.167507414088
144,15,0.128991260215,0.130913076372,0.131131069601,0.128545535165
145,15,0.116058257444,0.136998559495,0.105539418555,0.115703252229
146,15,0.0968613688277,0.0992238326574,0.09622445417,0.106457517972
147,15,0.0877361506154,0.0875426460792,0.0790786463924,0.0814189458024
148,15,0.125822888446,0.0993412190516,0.109359465894,0.10021806736
149,15,0.0896406823682,0.0897617672247,0.0888732338024,0.102097456118
150,15,0.102135402733,0.111546271896,0.128917840308,0.106411674212
151,15,0.134356249269,0.151183115352,0.135323337086,0.135676155079
152,15,0.122205947615,0.125324092714,0.124880524982,0.123248519378
153,15,0.178919819036,0.150153258484,0.150891997125,0.168375089702
154,15,0.183795802664,0.179946151712,0.178418647275,0.181370613954
155,15,0.189643620668,0.188675537439,0.188842493128,0.188222681709
156,15,0.108225878664,0.101636793998,0.0997355158,0.107833666886
157,15,0.249454723564,0.260216083327,0.253149761359,0.253420144328
158,15,0.144717767515,0.152694079178,0.145364835865,0.148298534571
159,15,0.127409858795,0.146625671519,0.132193912898,0.113874153062
160,15,0.157115471402,0.157223661987,0.14251172202,0.147431362471
161,15,0.115896022837,0.106813593778,0.125522568863,0.109745534345
162,15,0.129180169472,0.11619180043,0.118610671382,0.134446337706
163,15,0.110140166483,0.121104854516,0.126236674173,0.111240785286
164,15,0.139650450474,0.148411625457,0.122718186057,0.146046640202
165,15,0.119550216152,0.124399606331,0.118000481749,0.114804002025
166,15,0.113002744784,0.126033324942,0.105819990516,0.109566000631
167,15,0.121625065051,0.120868508376,0.120642128259,0.118397240258
168,15,0.115500775364,0.125195415037,0.120615113216,0.137832424139
169,15,0.121297050585,0.126101378231,0.105745006676,0.108671947123
170,15,0.146516667158,0.100337564418,0.11581687217,0.134093820011
171,15,0.162401864834,0.161299674582,0.193222180432,0.167682764544
172,15,0.209863006616,0.180206422398,0.174060359661,0.188873295139
173,15,0.120428155865,0.124174903335,0.12705564169,0.129848289876
174,15,0.226744087602,0.213675119231,0.191463135862,0.149418199705
175,15,0.128621317968,0.107595846204,0.0928919478024,0.10898417301
176,15,0.102440993533,0.100144102543,0.10768160061,0.106466427649
177,15,0.08933116032,0.0867427023278,0.120518374911,0.084624560509
178,15,0.106219675665,0.0938042003116,0.0950705163735,0.10077777141
179,15,0.104408948772,0.0875449861709,0.0930504554569,0.108926625996
180,15,0.127157150893,0.107781261907,0.124025652493,0.115690228915
181,15,0.10118966729,0.161662951202,0.12361237373,0.110152414981
182,15,0.0974267502065,0.0874666322215,0.0868679721565,0.0884110702026
183,15,0.102054107931,0.0967449444695,0.0948664163853,0.0980902295065
184,15,0.117250015356,0.124793759034,0.1170851473,0.126926975204
185,15,0.0870582167151,0.116047344331,0.088360106229,0.0966198781899
186,15,0.108841857586,0.11469154241,0.116969321519,0.1056406707
187,15,0.119021062893,0.104776664472,0.11033619249,0.115021447569
188,15,0.149705932316,0.154307948722,0.155300374597,0.145949362549
189,15,0.118112782263,0.139455730209,0.12746765379,0.11947592771
190,15,0.122253034544,0.152345830523,0.127408141826,0.140060135495
191,15,0.227316286302,0.219395414931,0.182665400797,0.184458861565
192,15,0.209198039314,0.14781127028,0.159928776287,0.162643049442
193,15,0.15244411058,0.147085593727,0.20148507511,0.134344448721
194,15,0.127339793467,0.127969222679,0.120712320881,0.140910935754
195,15,0.119624848837,0.109336007643,0.107665225775,0.112925203383
196,15,0.158563428141,0.162342924099,0.171311839472,0.17404277556
197,15,0.266350225537,0.264426898761,0.268162793756,0.262374442084
198,15,0.177915934238,0.225349274117,0.181568382442,0.233848159249
200,15,0.2461352148,0.251908759636,0.248665314492,0.251269080615
201,15,0.464918245769,0.463950737032,0.446241434206,0.453368300428
202,15,0.613854295765,0.600392160688,0.582205614875,0.579670246062
203,15,0.511090757025,0.509550675314,0.499834007054,0.528633137563
204,15,0.509232399362,0.526113046192,0.518067822966,0.557640779803
205,15,0.597449917361,0.581719783019,0.599944937239,0.592666960253
206,15,0.575983927063,0.586291126525,0.578626874681,0.589703843924
207,15,0.533424581753,0.547147123174,0.521208112166,0.537743909985
208,15,0.696470634977,0.620850895107,0.60671044908,0.615901406211
209,15,0.500265234754,0.49581243648,0.549761254674,0.514397261884
210,15,0.642047274893,0.629870690285,0.628323369602,0.636722727668
211,15,0.942183746962,0.974607187175,0.978304150899,0.949250526655
212,15,0.487401567177,0.506667772941,0.494973005586,0.493397663291
213,15,0.537626412009,0.543103506055,0.53682756957,0.558118929396
214,15,0.780531992264,0.779417400343,0.801436052342,0.751081144543
215,15,0.614052576299,0.600638066272,0.592370061783,0.584688799225
216,15,0.53548374776,0.549867145065,0.554085662581,0.525388168197
217,15,0.36766526099,0.362959892996,0.357512066526,0.355699034599
218,15,0.307129546249,0.261311393566,0.263190314848,0.288207552052
219,15,0.212890846182,0.197987302271,0.209584590891,0.206041885509
220,15,0.189467275666,0.191469304035,0.187835921363,0.186014124178
221,15,0.255387436461,0.251910172498,0.266985745923,0.263023933429
222,15,0.202507762765,0.202940737083,0.204999911205,0.200492014458
223,15,0.125149091409,0.133024886602,0.127709534094,0.130567268731
224,15,0.139787530706,0.140462653514,0.141345675246,0.138039858293
225,15,0.130241393995,0.124955827475,0.132101640612,0.133772818849
226,15,0.164488857052,0.17069377036,0.170918136632,0.168741628051
227,15,0.170567271676,0.181252025119,0.169134708464,0.163684440832
228,15,0.322631938145,0.317047470007,0.312368640388,0.321820581388
229,15,0.643604483625,0.594576892257,0.642109171471,0.638881884293
230,15,0.683343797076,0.658208600377,0.66441162177,0.666185408091
231,15,0.546240481559,0.561867785914,0.598967302177,0.555822898187
232,15,0.950877160674,0.935116353026,0.961855277331,0.947299820487
233,15,1.07929946077,1.1004619613,1.12038974872,1.12242651252
234,15,0.795661661222,0.788492641981,0.811623853185,0.771169394641
235,15,0.629579810823,0.623600817364,0.658144277104,0.633413748668
236,15,0.547164537759,0.556279365859,0.547161113687,0.578548296151
237,15,0.583807736585,0.50388463666,0.492618188564,0.491473538961
238,15,0.511608209977,0.442261206426,0.483734591068,0.438170696101
239,15,0.473270803139,0.47487867739,0.470020421906,0.476532854111
240,15,0.386467645595,0.380677113756,0.372811598889,0.379489944907
241,15,0.412144406421,0.365902306226,0.395308573816,0.409043108246
242,15,0.549322131499,0.54185301405,0.53958502929,0.58650126938
243,15,0.725640415954,0.751322485418,0.726340530338,0.725269134539
244,15,0.957138207176,0.958423443721,0.980029496967,0.963593695191
245,15,0.816112604802,0.81585201497,0.816299796379,0.822687000429
246,15,0.663336283176,0.67336202033,0.666515717496,0.684673047999
247,15,0.559274713404,0.531905890745,0.534670831776,0.551272356992
248,15,0.472616839648,0.491614781342,0.480295091207,0.486088487909
249,15,0.445948916695,0.442198642157,0.457768201683,0.452234946581
250,15,0.41401497556,0.423692438791,0.515864881427,0.456552338595
251,15,0.42718488868,0.441877010378,0.428962077943,0.428157129866
252,15,0.252178736649,0.260847307295,0.302739491958,0.276734464781
253,15,0.318183533301,0.3126783775,0.330693021323,0.317641350096
254,15,0.188388492878,0.194432174957,0.192791399863,0.18779444459
255,15,0.151207710929,0.107648128738,0.142047810955,0.112556411287
256,15,0.129896552283,0.12059796714,0.115410162179,0.115318624686
257,15,0.212015234017,0.185539131587,0.181525730894,0.187023113539
258,15,0.129004734261,0.122985902443,0.126900659862,0.127190207353
259,15,0.108758046831,0.107940285751,0.103618484324,0.154563557027
260,15,0.179269635698,0.222930606341,0.202139022427,0.187197160489
261,15,0.198074223891,0.168697912843,0.171823076563,0.164393288842
262,15,0.213010845875,0.231410978663,0.228380438824,0.194158748511
263,15,0.241277596719,0.231007155546,0.187905736629,0.234193681465
264,15,0.30598762454,0.294479687015,0.300720910748,0.310091664519
265,15,0.307867650512,0.307339777568,0.311376997435,0.345946849893
266,15,0.274416931081,0.282313592382,0.273191492671,0.290528669976
267,15,0.316621586474,0.355251349601,0.326218620468,0.311854234289
268,15,0.253496875889,0.254605795447,0.244122914432,0.252465337906
269,15,0.221471248921,0.226887505942,0.240415011568,0.226377003469
270,15,0.203291896861,0.205875586309,0.202742672306,0.207993581009
271,15,0.170877025356,0.194067299717,0.168522807343,0.169601155239
272,15,0.137134677878,0.128319148267,0.134925848192,0.135801777354
273,15,0.11627686014,0.10704523891,0.0974597203206,0.109054298835
274,15,0.15826405127,0.14258537126,0.124988115114,0.135704139485
275,15,0.133074312695,0.127456770792,0.124406861624,0.13012830981
276,15,0.288875569368,0.31192214331,0.303535439917,0.314270097774
277,15,0.13687440628,0.170903181779,0.147368395502,0.136028667442
278,15,0.0916492531933,0.0949005584903,0.0900720220974,0.0925826031354
279,15,0.135969314595,0.12762841415,0.125257490797,0.117774551734
